comparison,Z_Obs,P.adj_Obs,Z_Shan,P.adj_Shan,Z_Simp,P.adj_Simp
Epinephelus labriformis Las Perlas upwelling-Johnrandallia nigrirostris Coiba upwelling,3.8458138433027274,0.008519937306490076,NA,NA,NA,NA
Abudefduf concolor Las Perlas upwelling-Johnrandallia nigrirostris Las Perlas non-upwelling,3.3048396235561475,0.01950631418750581,NA,NA,NA,NA
Cephalopholis panamensis Las Perlas non-upwelling-Johnrandallia nigrirostris Las Perlas non-upwelling,2.9621888654116084,0.037227980490603614,NA,NA,NA,NA
Epinephelus labriformis Coiba non-upwelling-Johnrandallia nigrirostris Las Perlas non-upwelling,3.0563873553776175,0.03235868108637952,3.3265498907578332,0.028576690307196756,NA,NA
Epinephelus labriformis Coiba upwelling-Johnrandallia nigrirostris Las Perlas non-upwelling,3.4378378419631304,0.014754045607822683,NA,NA,NA,NA
Epinephelus labriformis Las Perlas non-upwelling-Johnrandallia nigrirostris Las Perlas non-upwelling,3.538541689773226,0.012070312271266537,NA,NA,NA,NA
Epinephelus labriformis Las Perlas upwelling-Johnrandallia nigrirostris Las Perlas non-upwelling,4.518705867368849,0.001617687714217472,3.480942307788396,0.020512074650385476,NA,NA
Epinephelus labriformis Las Perlas upwelling-Johnrandallia nigrirostris Las Perlas upwelling,3.664491265131844,0.010739330210719869,3.426066104140554,0.023883261593163414,NA,NA
Chaetodon humeralis Coiba non-upwelling-Microspathodon dorsalis Coiba non-upwelling,-3.307703126121578,0.019829806704398496,NA,NA,NA,NA
Chaetodon humeralis Las Perlas upwelling-Microspathodon dorsalis Coiba non-upwelling,-3.4883887272989886,0.013070138195842526,-3.167962311291675,0.0412892784382976,NA,NA
Johnrandallia nigrirostris Las Perlas non-upwelling-Microspathodon dorsalis Coiba non-upwelling,-3.085824048876179,0.030448335333967822,NA,NA,NA,NA
Acanthurus xanthopterus Coiba upwelling-Microspathodon dorsalis Coiba upwelling,-2.981501017946971,0.036086208488220646,NA,NA,NA,NA
Chaetodon humeralis Coiba non-upwelling-Microspathodon dorsalis Coiba upwelling,-3.632733283501517,0.009942690031444773,NA,NA,NA,NA
Chaetodon humeralis Coiba upwelling-Microspathodon dorsalis Coiba upwelling,-2.982805768951616,0.036521797949371756,NA,NA,NA,NA
Chaetodon humeralis Las Perlas upwelling-Microspathodon dorsalis Coiba upwelling,-3.805188937283304,0.008501759275989276,-3.863718562299885,0.008710562693224145,-3.416617466291173,0.049455356729370306
Johnrandallia nigrirostris Coiba non-upwelling-Microspathodon dorsalis Coiba upwelling,-3.0281318184538515,0.03367283599997153,NA,NA,NA,NA
Johnrandallia nigrirostris Las Perlas non-upwelling-Microspathodon dorsalis Coiba upwelling,-3.4108542062561176,0.015306840314955971,NA,NA,NA,NA
Chaetodon humeralis Coiba non-upwelling-Microspathodon dorsalis Las Perlas upwelling,-3.430356015698913,0.014693001133637305,NA,NA,NA,NA
Chaetodon humeralis Las Perlas upwelling-Microspathodon dorsalis Las Perlas upwelling,-3.6079359763496734,0.010467010743271792,NA,NA,NA,NA
Johnrandallia nigrirostris Coiba non-upwelling-Microspathodon dorsalis Las Perlas upwelling,-2.830878857520221,0.04764188593285842,NA,NA,NA,NA
Johnrandallia nigrirostris Las Perlas non-upwelling-Microspathodon dorsalis Las Perlas upwelling,-3.208476938453514,0.024781716198611324,NA,NA,NA,NA
Epinephelus labriformis Las Perlas upwelling-Prionurus laticlavius Coiba upwelling,2.966133950558934,0.03733712818608253,NA,NA,NA,NA
Chaetodon humeralis Las Perlas upwelling-Prionurus laticlavius Las Perlas non-upwelling,-2.9241257117797552,0.03962230396691218,NA,NA,NA,NA
Abudefduf concolor Las Perlas non-upwelling-Prionurus laticlavius Las Perlas upwelling,-3.1849374697248365,0.025666483125159446,NA,NA,NA,NA
Abudefduf troschelii Coiba non-upwelling-Prionurus laticlavius Las Perlas upwelling,-3.229221495335892,0.024204904745571736,NA,NA,NA,NA
Abudefduf troschelii Las Perlas non-upwelling-Prionurus laticlavius Las Perlas upwelling,-3.0458265078695024,0.03232009181529755,NA,NA,NA,NA
Abudefduf troschelii Las Perlas upwelling-Prionurus laticlavius Las Perlas upwelling,-3.193386379766521,0.02550684553128609,NA,NA,NA,NA
Acanthurus xanthopterus Coiba upwelling-Prionurus laticlavius Las Perlas upwelling,-3.582934718289114,0.010600372834280777,-3.7505368977475384,0.010587380139290524,-3.3658933693204625,0.049592527031333884
Cephalopholis colonus Coiba non-upwelling-Prionurus laticlavius Las Perlas upwelling,-2.8568402098096253,0.04449964310933286,NA,NA,NA,NA
Chaetodon humeralis Coiba non-upwelling-Prionurus laticlavius Las Perlas upwelling,-4.210022135910856,0.003983392433619826,-3.76388953895853,0.010873902199612817,NA,NA
Chaetodon humeralis Coiba upwelling-Prionurus laticlavius Las Perlas upwelling,-3.5841597130643423,0.010990366499949493,NA,NA,NA,NA
Chaetodon humeralis Las Perlas upwelling-Prionurus laticlavius Las Perlas upwelling,-4.364257545813854,0.002487327003106037,-4.74073283432702,0.001660983320040776,-4.3963124275737835,0.008588222912255618
Johnrandallia nigrirostris Coiba non-upwelling-Prionurus laticlavius Las Perlas upwelling,-3.6373871686604793,0.010229803181578637,NA,NA,NA,NA
Johnrandallia nigrirostris Coiba upwelling-Prionurus laticlavius Las Perlas upwelling,-3.385710559477361,0.01628690958187099,NA,NA,NA,NA
Johnrandallia nigrirostris Las Perlas non-upwelling-Prionurus laticlavius Las Perlas upwelling,-4.003152640023918,0.005417008682149848,-3.7412473909507327,0.010201796349187497,NA,NA
Johnrandallia nigrirostris Las Perlas upwelling-Prionurus laticlavius Las Perlas upwelling,-3.210536306619717,0.02520494488182643,-3.68193805191341,0.012036318379850435,NA,NA
Abudefduf concolor Coiba non-upwelling-Chaetodon humeralis Las Perlas upwelling,NA,NA,3.1990442056666124,0.03983316271210947,NA,NA
Abudefduf concolor Coiba upwelling-Chaetodon humeralis Las Perlas upwelling,NA,NA,3.182307801003185,0.04070108331913911,NA,NA
Acanthurus xanthopterus Las Perlas upwelling-Chaetodon humeralis Las Perlas upwelling,NA,NA,3.3439663823324817,0.02800869605318154,NA,NA
Cephalopholis panamensis Coiba non-upwelling-Chaetodon humeralis Las Perlas upwelling,NA,NA,3.886369514328322,0.008818730403596833,4.082369647996328,0.011590492365059301
Cephalopholis panamensis Coiba upwelling-Chaetodon humeralis Las Perlas upwelling,NA,NA,3.9312210419058355,0.010987017833565373,4.059023747686002,0.009609268991061461
Acanthurus xanthopterus Coiba upwelling-Epinephelus labriformis Coiba non-upwelling,NA,NA,-3.345919441610626,0.029076350155278465,NA,NA
Epinephelus labriformis Coiba non-upwelling-Johnrandallia nigrirostris Las Perlas upwelling,NA,NA,3.2728543030243284,0.033217810987420174,NA,NA
Chaetodon humeralis Las Perlas upwelling-Microspathodon dorsalis Las Perlas non-upwelling,NA,NA,-3.2588170794645683,0.033563333271057795,NA,NA
