comparison,Z_Obs,P.adj_Obs,Z_Shan,P.adj_Shan,Z_Simp,P.adj_Simp
roving herbivore Coiba upwelling-roving herbivore Las Perlas upwelling,-2.91046457436076,0.023164222750845943,-2.7660373893384214,0.044745142587541906,NA,NA
invertivore Coiba non-upwelling-territorial herbivore Coiba non-upwelling,-3.5161052188314463,0.00525512873667165,NA,NA,NA,NA
invertivore Coiba upwelling-territorial herbivore Coiba non-upwelling,-2.9100800068775765,0.02266563721116882,NA,NA,NA,NA
invertivore Las Perlas non-upwelling-territorial herbivore Coiba non-upwelling,-2.782761443803674,0.030359110198162134,NA,NA,NA,NA
invertivore Las Perlas upwelling-territorial herbivore Coiba non-upwelling,-3.3783783368809,0.007740174638889591,-3.7645756646557365,0.004185970223933187,-3.323886931136008,0.024501121670111984
invertivore Coiba non-upwelling-territorial herbivore Coiba upwelling,-3.7988075991203956,0.00286633694439554,-2.726984149450877,0.04767796262903288,NA,NA
invertivore Coiba upwelling-territorial herbivore Coiba upwelling,-3.1807088365998815,0.012671436519991995,NA,NA,NA,NA
invertivore Las Perlas non-upwelling-territorial herbivore Coiba upwelling,-3.053390273525979,0.016878627364466336,-2.7970778422865066,0.04312885362798505,NA,NA
invertivore Las Perlas upwelling-territorial herbivore Coiba upwelling,-3.6533221587064673,0.0035723936415397667,-4.2378063598143765,0.0010382858241078138,-4.005405784375036,0.003417493116586519
carnivore Las Perlas non-upwelling-territorial herbivore Las Perlas non-upwelling,2.5909005632336832,0.045551966238972535,NA,NA,NA,NA
carnivore Las Perlas upwelling-territorial herbivore Las Perlas non-upwelling,2.98524215164963,0.019074556234479404,NA,NA,NA,NA
invertivore Coiba non-upwelling-territorial herbivore Las Perlas upwelling,-4.511306008937686,4.445648727201846e-4,NA,NA,NA,NA
invertivore Coiba upwelling-territorial herbivore Las Perlas upwelling,-3.8520205257647917,0.002487125184360237,NA,NA,NA,NA
invertivore Las Perlas non-upwelling-territorial herbivore Las Perlas upwelling,-3.7230953557551505,0.0031950271919232833,NA,NA,NA,NA
invertivore Las Perlas upwelling-territorial herbivore Las Perlas upwelling,-4.342434097233837,6.481987030573907e-4,-2.8600827116401693,0.04174800934474441,NA,NA
omnivore Coiba non-upwelling-territorial herbivore Las Perlas upwelling,-2.794455701210608,0.029892618635436633,NA,NA,NA,NA
omnivore Las Perlas non-upwelling-territorial herbivore Las Perlas upwelling,-2.5660556391769216,0.046540987300265964,NA,NA,NA,NA
omnivore Las Perlas upwelling-territorial herbivore Las Perlas upwelling,-2.7431549132769772,0.0329316545752784,NA,NA,NA,NA
roving herbivore Coiba upwelling-territorial herbivore Las Perlas upwelling,-3.1413423096298456,0.014065574296400755,NA,NA,NA,NA
invertivore Las Perlas upwelling-omnivore Coiba upwelling,NA,NA,-2.808258638180643,0.044347150107901016,-3.1165704078039345,0.03366610890294002
carnivore Coiba non-upwelling-omnivore Las Perlas upwelling,NA,NA,2.6954077553716664,0.0473256126521562,NA,NA
invertivore Las Perlas upwelling-planktivore Coiba non-upwelling,NA,NA,-2.942230314808813,0.03459102423326979,-3.250542084432105,0.026492600389013306
invertivore Las Perlas upwelling-planktivore Coiba upwelling,NA,NA,-2.841659837978143,0.04271275932967252,NA,NA
invertivore Las Perlas non-upwelling-planktivore Las Perlas non-upwelling,NA,NA,-2.7159619154614267,0.04799750356179954,NA,NA
carnivore Coiba non-upwelling-roving herbivore Coiba upwelling,NA,NA,3.05481865136998,0.028251942851153705,2.94696058964735,0.04661699566902751
invertivore Las Perlas upwelling-roving herbivore Las Perlas non-upwelling,NA,NA,-2.9780795797441932,0.03335697615977903,-3.0722748361749,0.034489290159196474
invertivore Las Perlas upwelling-territorial herbivore Las Perlas non-upwelling,NA,NA,-2.9128555836711563,0.03660988605932966,NA,NA
invertivore Las Perlas upwelling-omnivore Las Perlas non-upwelling,NA,NA,NA,NA,-3.0892292493083895,0.034616700460508694
